Date,Cash,Shares,Portfolio Value,Portfolio Return
2020-01-01,100000.0,0.0,100000.0,0.0
2020-01-02,100000.0,0.0,100000.0,0.0
2020-01-03,100000.0,0.0,100000.0,0.0
2020-01-06,100000.0,0.0,100000.0,0.0
2020-01-07,100000.0,0.0,100000.0,0.0
2020-01-08,100000.0,0.0,100000.0,0.0
2020-01-09,100000.0,0.0,100000.0,0.0
2020-01-10,100000.0,0.0,100000.0,0.0
2020-01-13,100000.0,0.0,100000.0,0.0
2020-01-14,100000.0,0.0,100000.0,0.0
2020-01-15,100000.0,0.0,100000.0,0.0
2020-01-16,100000.0,0.0,100000.0,0.0
2020-01-17,100000.0,0.0,100000.0,0.0
2020-01-20,100000.0,0.0,100000.0,0.0
2020-01-21,100000.0,0.0,100000.0,0.0
2020-01-22,100000.0,0.0,100000.0,0.0
2020-01-23,100000.0,0.0,100000.0,0.0
2020-01-24,100000.0,0.0,100000.0,0.0
2020-01-27,100000.0,0.0,100000.0,0.0
2020-01-28,100000.0,0.0,100000.0,0.0
2020-01-29,100000.0,0.0,100000.0,0.0
2020-01-30,100000.0,0.0,100000.0,0.0
2020-01-31,100000.0,0.0,100000.0,0.0
2020-02-03,100000.0,0.0,100000.0,0.0
2020-02-04,100000.0,0.0,100000.0,0.0
2020-02-05,100000.0,0.0,100000.0,0.0
2020-02-06,100000.0,0.0,100000.0,0.0
2020-02-07,100000.0,0.0,100000.0,0.0
2020-02-10,100000.0,0.0,100000.0,0.0
2020-02-11,100000.0,0.0,100000.0,0.0
2020-02-12,100000.0,0.0,100000.0,0.0
2020-02-13,100000.0,0.0,100000.0,0.0
2020-02-14,100000.0,0.0,100000.0,0.0
2020-02-17,100000.0,0.0,100000.0,0.0
2020-02-18,100000.0,0.0,100000.0,0.0
2020-02-19,100000.0,0.0,100000.0,0.0
2020-02-20,100000.0,0.0,100000.0,0.0
2020-02-24,100000.0,0.0,100000.0,0.0
2020-02-25,100000.0,0.0,100000.0,0.0
2020-02-26,100000.0,0.0,100000.0,0.0
2020-02-27,100000.0,0.0,100000.0,0.0
2020-02-28,100000.0,0.0,100000.0,0.0
2020-03-02,100000.0,0.0,100000.0,0.0
2020-03-03,100000.0,0.0,100000.0,0.0
2020-03-04,100000.0,0.0,100000.0,0.0
2020-03-05,100000.0,0.0,100000.0,0.0
2020-03-06,100000.0,0.0,100000.0,0.0
2020-03-09,100000.0,0.0,100000.0,0.0
2020-03-11,100000.0,0.0,100000.0,0.0
2020-03-12,100000.0,0.0,100000.0,0.0
2020-03-13,100000.0,0.0,100000.0,0.0
2020-03-16,100000.0,0.0,100000.0,0.0
2020-03-17,100000.0,0.0,100000.0,0.0
2020-03-18,100000.0,0.0,100000.0,0.0
2020-03-19,100000.0,0.0,100000.0,0.0
2020-03-20,100000.0,0.0,100000.0,0.0
2020-03-23,100000.0,0.0,100000.0,0.0
2020-03-24,100000.0,0.0,100000.0,0.0
2020-03-25,100000.0,0.0,100000.0,0.0
2020-03-26,100000.0,0.0,100000.0,0.0
2020-03-27,100000.0,0.0,100000.0,0.0
2020-03-30,100000.0,0.0,100000.0,0.0
2020-03-31,100000.0,0.0,100000.0,0.0
2020-04-01,100000.0,0.0,100000.0,0.0
2020-04-03,100000.0,0.0,100000.0,0.0
2020-04-07,100000.0,0.0,100000.0,0.0
2020-04-08,100000.0,0.0,100000.0,0.0
2020-04-09,100000.0,0.0,100000.0,0.0
2020-04-13,100000.0,0.0,100000.0,0.0
2020-04-15,100000.0,0.0,100000.0,0.0
2020-04-16,100000.0,0.0,100000.0,0.0
2020-04-17,100000.0,0.0,100000.0,0.0
2020-04-20,100000.0,0.0,100000.0,0.0
2020-04-21,100000.0,0.0,100000.0,0.0
2020-04-22,100000.0,0.0,100000.0,0.0
2020-04-23,100000.0,0.0,100000.0,0.0
2020-04-24,100000.0,0.0,100000.0,0.0
2020-04-27,100000.0,0.0,100000.0,0.0
2020-04-28,100000.0,0.0,100000.0,0.0
2020-04-29,100000.0,0.0,100000.0,0.0
2020-04-30,625.309437635995,152.0,99851.11168372974,-0.00148888316270257
2020-05-04,625.309437635995,152.0,97766.4276016985,-0.020877925612228676
2020-05-05,625.309437635995,152.0,99489.0076798235,0.017619341530436206
2020-05-06,625.309437635995,152.0,99495.7615860735,6.788595451401314e-05
2020-05-07,625.309437635995,152.0,102622.79234779224,0.03142878361721535
2020-05-08,625.309437635995,152.0,106335.3162735735,0.03617640721760296
2020-05-11,625.309437635995,152.0,107350.5916641985,0.009547866374074232
2020-05-12,625.309437635995,152.0,100747.93394935474,-0.06150555495304033
2020-05-13,625.309437635995,152.0,102872.22301185474,0.02108518735052045
2020-05-14,625.309437635995,152.0,98738.46129310474,-0.04018345864144135
2020-05-15,625.309437635995,152.0,100340.723500136,0.016227336197542463
2020-05-18,625.309437635995,152.0,99066.4432266985,-0.012699532442934536
2020-05-19,625.309437635995,152.0,96890.2381485735,-0.021967126377446355
2020-05-20,625.309437635995,152.0,98584.73570716724,0.017488836759750548
2020-05-21,625.309437635995,152.0,99100.602406386,0.005232723864585509
2020-05-22,625.309437635995,152.0,98437.8475235735,-0.006687697821398886
2020-05-26,625.309437635995,152.0,97925.37633216724,-0.005206038168231286
2020-05-27,625.309437635995,152.0,99394.397328261,0.015001433245564133
2020-05-28,625.309437635995,152.0,101218.70348060474,0.018354215140706343
2020-05-29,625.309437635995,152.0,100682.34312904224,-0.005299024124185481
2020-06-01,625.309437635995,152.0,104505.22105872974,0.03796969568723485
2020-06-02,625.309437635995,152.0,105554.00621497974,0.010035720183402264
2020-06-03,625.309437635995,152.0,105960.567250136,0.0038516873943013064
2020-06-04,625.309437635995,152.0,108567.21324622974,0.02460015139349303
2020-06-05,625.309437635995,152.0,108697.0311173235,0.0011957373429059004
2020-06-08,625.309437635995,152.0,107863.45250404224,-0.0076688259533189695
2020-06-09,625.309437635995,152.0,105653.08824622974,-0.020492244652837055
2020-06-10,625.309437635995,152.0,108044.50914466724,0.02263465212549365
2020-06-11,625.309437635995,152.0,105690.68004310474,-0.02178573552877927
2020-06-12,625.309437635995,152.0,109182.143422011,0.033034732840041325
2020-06-15,625.309437635995,152.0,110941.54527747974,0.016114373654199987
2020-06-16,625.309437635995,152.0,111156.77965247974,0.0019400701014364863
2020-06-17,625.309437635995,152.0,110996.2166641985,-0.001444473191677842
2020-06-18,625.309437635995,152.0,113766.84898841724,0.02496150236003869
2020-06-19,625.309437635995,152.0,120838.6248673235,0.06216025091480071
2020-06-22,625.309437635995,152.0,119933.3045548235,-0.007491977945743855
2020-06-23,625.309437635995,152.0,118208.0526016985,-0.014385094778542995
2020-06-24,625.309437635995,152.0,118682.91344154224,0.004017161516430612
2020-06-25,625.309437635995,152.0,118003.0604141985,-0.005728314275657009
2020-06-26,625.309437635995,152.0,119625.8162735735,0.013751811636740774
2020-06-29,625.309437635995,152.0,118361.78746497974,-0.010566521909476712
2020-06-30,625.309437635995,152.0,117060.17613685474,-0.010996888066683752
2020-07-01,625.309437635995,152.0,119349.10094154224,0.019553403046408624
2020-07-02,625.309437635995,152.0,121392.97398841724,0.017125165005441367
2020-07-03,625.309437635995,152.0,123283.02867591724,0.015569720597506276
2020-07-06,625.309437635995,152.0,127666.85191810474,0.03555901642967885
2020-07-07,625.309437635995,152.0,125721.91246497974,-0.01523449058156956
2020-07-08,625.309437635995,152.0,123975.93492591724,-0.013887615172485157
2020-07-09,625.309437635995,152.0,125776.79723060474,0.014525902190321238
2020-07-10,625.309437635995,152.0,129467.723500136,0.029345048934297013
2020-07-13,625.309437635995,152.0,133374.7283829485,0.03017744328228944
2020-07-14,625.309437635995,152.0,132139.84898841724,-0.009258720969880008
2020-07-15,625.309437635995,152.0,127131.73473060474,-0.03790010580571712
2020-07-16,625.309437635995,152.0,127090.58043372974,-0.00032371379940820955
2020-07-17,625.309437635995,152.0,131776.25133216724,0.03686875048053473
2020-07-20,625.309437635995,152.0,132338.801625136,0.0042689808465619095
2020-07-21,625.309437635995,152.0,135882.227406386,0.026775410822346357
2020-07-22,625.309437635995,152.0,138108.42808997974,0.016383310209773017
2020-07-23,625.309437635995,152.0,141799.34508216724,0.02672477735958889
2020-07-24,625.309437635995,152.0,147860.539906386,0.04274487178136477
2020-07-27,625.309437635995,152.0,148550.01353919852,0.004662999561945602
2020-07-28,625.309437635995,152.0,150024.99986732347,0.009929223787890962
2020-07-29,625.309437635995,152.0,144464.623890761,-0.03706299604385843
2020-07-30,625.309437635995,152.0,145301.60728919852,0.00579369104972316
2020-07-31,625.309437635995,152.0,142437.35728919852,-0.019712445398482048
2020-08-03,625.309437635995,152.0,138451.457875136,-0.027983525459333913
2020-08-04,625.309437635995,152.0,148165.838734511,0.07016452559232733
2020-08-05,625.309437635995,152.0,146509.03502357347,-0.01118208977918489
2020-08-06,625.309437635995,152.0,147033.86363685474,0.0035822269472789436
2020-08-07,625.309437635995,152.0,147881.10777747974,0.005762238165199385
2020-08-10,625.309437635995,152.0,146056.25426185474,-0.012340004366013457
2020-08-11,625.309437635995,152.0,147013.28648841724,0.006552490555089108
2020-08-12,625.309437635995,152.0,146587.92955482347,-0.0028933230713625857
2020-08-13,625.309437635995,152.0,146207.17808997974,-0.002597427127868146
2020-08-14,625.309437635995,152.0,145641.19517982347,-0.0038711020727584255
2020-08-17,625.309437635995,152.0,144101.03551185474,-0.01057502766347862
2020-08-18,625.309437635995,152.0,145967.071156386,0.012949495039386694
2020-08-19,625.309437635995,152.0,146858.91148841724,0.0061098734458797654
2020-08-20,625.309437635995,152.0,144492.05699622974,-0.0161165193735906
2020-08-21,625.309437635995,152.0,143449.274281386,-0.007216886080256724
2020-08-24,625.309437635995,152.0,144402.89244544852,0.006647772662773832
2020-08-25,625.309437635995,152.0,143466.42808997974,-0.006485080316674052
2020-08-26,625.309437635995,152.0,147253.393422011,0.02639617771522218
2020-08-27,625.309437635995,152.0,145421.66539466724,-0.012439292465703855
2020-08-28,625.309437635995,152.0,145802.416859511,0.002618258179140076
2020-08-31,625.309437635995,152.0,143370.379750136,-0.016680362107566515
2020-09-01,625.309437635995,152.0,143819.76500404224,0.0031344358206306655
2020-09-02,625.309437635995,152.0,146629.09312904224,0.019533672057669094
2020-09-03,625.309437635995,152.0,145524.56041419852,-0.007532834659706111
2020-09-04,625.309437635995,152.0,143133.70543372974,-0.016429219739017342
2020-09-07,625.309437635995,152.0,143504.159047011,0.0025881647663539287
2020-09-08,625.309437635995,152.0,145181.53062904224,0.01168866180026007
2020-09-09,625.309437635995,152.0,148903.32262122974,0.0256354370701406
2020-09-10,625.309437635995,152.0,159375.764515761,0.07033047826051764
2020-09-11,625.309437635995,152.0,159770.237172011,0.002475110676008585
2020-09-14,625.309437635995,152.0,158590.270375136,-0.0073853980425943044
2020-09-15,625.309437635995,152.0,159708.5057266985,0.007051096822758396
2020-09-16,625.309437635995,152.0,160099.5272110735,0.00244834476783673
2020-09-17,625.309437635995,152.0,158329.577015761,-0.011055311818497837
2020-09-18,625.309437635995,152.0,158806.358265761,0.0030113214409239752
2020-09-21,625.309437635995,152.0,155386.45103919852,-0.021535077461062868
2020-09-22,625.309437635995,152.0,152319.825062636,-0.019735478582936006
2020-09-23,625.309437635995,152.0,153667.88805091724,0.008850213606317547
2020-09-24,625.309437635995,152.0,150265.12535560474,-0.02214361594001346
2020-09-25,625.309437635995,152.0,151671.524281386,0.00935944998849858
2020-09-28,625.309437635995,152.0,152669.70152747974,0.006581177652318582
2020-09-29,625.309437635995,152.0,154645.51598060474,0.012941758799268843
2020-09-30,625.309437635995,152.0,153911.45543372974,-0.004746730237991881
2020-10-01,625.309437635995,152.0,153287.155140761,-0.004056230195533139
2020-10-05,625.309437635995,152.0,152391.84508216724,-0.005840737651968353
2020-10-06,625.309437635995,152.0,152264.940297011,-0.0008327531246034026
2020-10-07,625.309437635995,152.0,155499.66246497974,0.021244037935844284
2020-10-08,625.309437635995,152.0,154247.619984511,-0.00805173760908151
2020-10-09,625.309437635995,152.0,153849.70543372974,-0.0025797127425447597
2020-10-12,625.309437635995,152.0,154096.659047011,0.001605161430664026
2020-10-13,625.309437635995,152.0,157091.274281386,0.019433356004567415
2020-10-14,625.309437635995,152.0,157557.7576798235,0.0029695054710798807
2020-10-15,625.309437635995,152.0,152000.82359779224,-0.03526918740062046
2020-10-16,625.309437635995,152.0,149894.66246497974,-0.01385624816340203
2020-10-19,625.309437635995,152.0,149922.09557044852,0.00018301589274516417
2020-10-20,625.309437635995,152.0,148529.436390761,-0.009289219006634819
2020-10-21,625.309437635995,152.0,146382.12096107347,-0.01445717079298836
2020-10-22,625.309437635995,152.0,145171.23277747974,-0.008272104377526568
2020-10-23,625.309437635995,152.0,145589.743031386,0.0028828731829242393
2020-10-26,625.309437635995,152.0,139830.39586341724,-0.03955874258756786
2020-10-27,625.309437635995,152.0,140200.87730872974,0.0026495058032616203
2020-10-28,138412.62243328887,0.0,138412.62243328887,-0.012754947827487872
2020-10-29,138412.62243328887,0.0,138412.62243328887,0.0
2020-10-30,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-02,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-03,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-04,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-05,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-06,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-09,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-10,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-11,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-12,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-13,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-14,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-17,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-18,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-19,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-20,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-23,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-24,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-25,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-26,138412.62243328887,0.0,138412.62243328887,0.0
2020-11-27,138412.62243328887,0.0,138412.62243328887,0.0
2020-12-01,138412.62243328887,0.0,138412.62243328887,0.0
2020-12-02,138412.62243328887,0.0,138412.62243328887,0.0
2020-12-03,138412.62243328887,0.0,138412.62243328887,0.0
2020-12-04,138412.62243328887,0.0,138412.62243328887,0.0
2020-12-07,138412.62243328887,0.0,138412.62243328887,0.0
