Date,Type,Price,Execution Price,Shares,Value,Transaction Cost,Remaining Cash
2020-04-30,BUY,652.8013305664062,653.1277312316894,152,99275.41514721679,99.27541514721679,625.309437635995
2020-10-28,SELL,907.8568115234376,907.402883117676,152,137925.23823388675,137.92523823388674,138412.62243328887
2021-01-04,BUY,898.55908203125,899.0083615722656,153,137548.27932055664,137.54827932055665,726.7948334116663
2021-01-08,SELL,872.7646484375,872.3282661132813,153,133466.22471533203,133.46622471533203,134059.55332402835
2021-01-21,BUY,947.5524291992188,948.0262054138183,141,133671.6949633484,133.6716949633484,254.18666571661015
2021-01-27,SELL,855.2976684570312,854.8700196228028,141,120536.6727668152,120.5366727668152,120670.322759765
2021-02-15,BUY,917.4027099609376,917.8614113159181,131,120239.84488238527,120.23984488238527,310.2380324973492
2021-02-19,SELL,938.9318237304688,938.4623578186036,131,122938.56887423707,122.93856887423708,123125.86833786019
2021-02-23,BUY,913.27294921875,913.7295856933594,134,122439.76448291015,122.43976448291015,563.6640904671222
2021-04-12,SELL,862.5869750976562,862.1556816101074,134,115528.8613357544,115.5288613357544,115976.99656488576
2021-06-02,BUY,993.5219116210938,994.0186725769042,116,115306.16601892089,115.30616601892089,555.5243799459422
2021-07-22,SELL,960.5029296875,960.0226782226563,116,111362.63067382813,111.36263067382814,111806.79242310024
2021-08-26,BUY,1010.2108154296876,1010.7159208374025,110,111178.75129211426,111.17875129211427,516.8623796938627
2021-11-23,SELL,1080.5941162109375,1080.0538191528321,110,118805.92010681154,118.80592010681154,119203.97656639859
2022-01-18,BUY,1142.1683349609375,1142.739419128418,104,118844.89958935547,118.84489958935546,240.23207745376567
2022-02-14,SELL,1059.171142578125,1058.641557006836,104,110098.72192871093,110.09872192871093,110228.855284236
2022-03-28,BUY,1187.5281982421875,1188.1219623413085,92,109307.22053540038,109.30722053540039,812.3275283002149
2022-05-26,SELL,1171.7440185546875,1171.1581465454103,92,107746.54948217775,107.74654948217776,108451.13046099579
2022-06-10,BUY,1229.33251953125,1229.9471857910155,88,108235.35234960937,108.23535234960937,107.54275903680536
2022-06-30,SELL,1175.616455078125,1175.028646850586,88,103402.52092285157,103.40252092285158,103406.66116096552
2022-08-17,BUY,1207.09423828125,1207.6977854003906,85,102654.3117590332,102.6543117590332,649.6950901732926
2022-09-27,SELL,1088.845703125,1088.3012802734377,85,92505.6088232422,92.50560882324221,93062.79830459226
2022-11-10,BUY,1168.9329833984375,1169.5174498901367,79,92391.8785413208,92.39187854132079,578.5278847301379
2023-01-02,SELL,1170.477783203125,1169.8925443115236,79,92421.51100061036,92.42151100061037,92907.6173743399
2023-04-28,BUY,1099.8648681640625,1100.4148005981444,84,92434.84325024413,92.43484325024413,380.3392808455246
2023-09-06,SELL,1199.8802490234375,1199.2803088989258,84,100739.54594750976,100.73954594750977,101019.14568240778
2023-11-28,BUY,1182.9346923828125,1183.526159729004,85,100599.72357696533,100.59972357696533,318.82238186548057
2024-04-09,SELL,1446.2098388671875,1445.486733947754,85,122866.37238555908,122.86637238555909,123062.328395039
2024-04-19,BUY,1452.6077880859375,1453.3340919799805,84,122080.06372631836,122.08006372631836,860.184604994327
2024-05-02,SELL,1449.0753173828125,1448.3507797241211,84,121661.46549682617,121.66146549682618,122399.98863632367
2024-06-13,BUY,1447.790771484375,1448.514666870117,84,121675.23201708983,121.67523201708984,603.0813872167491
2024-08-13,SELL,1446.1851806640625,1445.4620880737305,84,121418.81539819336,121.41881539819336,121900.47797001191
